alpha1,alpha3,time,model_stock,model_effort,real_stock,real_effort
-0.003,0.01,13,0.01929408435104961,0.02255134031149717,0.007972203469334235,0.021433118692904915
-0.003,0.01,14,0.020513879400958886,0.024419904536501457,0.01024571488857211,0.01942619768696443
-0.003,0.01,15,0.02202858063775003,0.02687320382370317,0.011421334661787616,0.018201524821749165
-0.003,0.01,16,0.02395201657876729,0.030096970665632,0.015365272857791898,0.027172973005234913
-0.003,0.01,17,0.026387236935687584,0.03416044440648771,0.019757643642576157,0.0363866628900798
-0.003,0.01,18,0.02940750876189117,0.039042810464600015,0.02607724319907534,0.046058111709083326
-0.003,0.01,19,0.03272347492328888,0.04330550032506301,0.032067985928988324,0.054448325080729255
-0.003,0.01,20,0.03640873238997717,0.04817169697572755,0.03175296343224757,0.04047125673083545
-0.003,0.01,21,0.04049959588010247,0.05355977092417051,0.036493846558845626,0.04982503812886209
-0.003,0.01,22,0.045065488164830615,0.0596442080351953,0.0397829161469858,0.05783672526985862
-0.003,0.01,23,0.05004943849799064,0.06596761857457475,0.0451193176028545,0.06457259233733582
-0.003,0.01,24,0.055696455467181744,0.07373205338793876,0.05000662439262597,0.07386739767118075
-0.003,0.01,25,0.06186161188512386,0.08155734551180491,0.055842910580694044,0.07009395755647525
-0.003,0.01,26,0.06815971140748742,0.08829624681082066,0.05955152251330182,0.07558314835568365
-0.003,0.01,27,0.07453989215657508,0.09495646758745538,0.06614221137394524,0.09538653648673306
-0.003,0.01,28,0.08156933289962856,0.10406411404416126,0.07429561491603079,0.10345099524745932
-0.003,0.01,29,0.08941242553400677,0.11450863096603803,0.07982548432653046,0.11143998274544732
-0.003,0.01,30,0.09882574213274627,0.12892426972265117,0.08464408120857476,0.11380758474033985
-0.003,0.02,1,0.00029516020757542174,0.014393104486982774,-0.0016119475556586923,1.9444019386073857e-5
-0.003,0.02,2,0.0038748703302760703,0.015200964812048195,-0.002159836382695989,-0.003628047446808362
-0.003,0.02,3,0.0067577983911750236,0.015887295921811692,-0.003802357045879357,-0.009781149117063138
-0.003,0.02,4,0.0090790177874546,0.01643712185739641,-0.0029279791053400616,0.0007957307527190494
-0.003,0.02,5,0.010929730894220932,0.01680369476966524,-0.0002776824049067208,0.008904643438812497
-0.003,0.02,6,0.012426169006312701,0.017182956123940076,-0.0009811304996678331,-0.0018127599892611567
-0.003,0.02,7,0.013662572043872279,0.017599802812429555,-0.0008042557437489253,-9.122812402837229e-5
-0.003,0.02,8,0.014717204989427501,0.018082151329064388,0.0001255306201194985,0.003686639722311078
-0.003,0.02,9,0.015657333080049338,0.018662641611150554,-0.0017639264112091874,-0.00762689110394796
-0.003,0.02,10,0.016543516913020875,0.01938079160953605,-0.00034929899827838146,0.006066943704524169
-0.003,0.02,11,0.017433542850302748,0.020285783863875653,0.000779977788634285,0.005894351184784294
-0.003,0.02,12,0.018386190316969662,0.021439727352081498,0.003974346345024528,0.014782916764164999
-0.003,0.02,13,0.019465124395534845,0.02292195871602968,0.007972203469334235,0.021433118692904915
-0.003,0.02,14,0.02074316305159978,0.024834509111890463,0.01024571488857211,0.01942619768696443
-0.003,0.02,15,0.0223071974224675,0.027309108004870908,0.011421334661787616,0.018201524821749165
-0.003,0.02,16,0.024264113585251785,0.0305162950219462,0.015365272857791898,0.027172973005234913
-0.003,0.02,17,0.026710178518091217,0.03451901332435938,0.019757643642576157,0.0363866628900798
-0.003,0.02,18,0.029713488331301614,0.03929636681411115,0.02607724319907534,0.046058111709083326
-0.003,0.02,19,0.03301293624854205,0.043543954725903423,0.032067985928988324,0.054448325080729255
-0.003,0.02,20,0.03667573047145124,0.04836886216127771,0.03175296343224757,0.04047125673083545
-0.003,0.02,21,0.04073530885976867,0.0536976957063112,0.036493846558845626,0.04982503812886209
-0.003,0.02,22,0.045254707604407245,0.05968742212450639,0.0397829161469858,0.05783672526985862
-0.003,0.02,23,0.050182257792599806,0.06592298255013064,0.0451193176028545,0.06457259233733582
-0.003,0.02,24,0.05573841668180274,0.07348726986096964,0.05000662439262597,0.07386739767118075
-0.003,0.02,25,0.061789894734376724,0.08112638714613704,0.055842910580694044,0.07009395755647525
-0.003,0.02,26,0.06798539962246168,0.08779759884372529,0.05955152251330182,0.07558314835568365
-0.003,0.02,27,0.07427596888182234,0.09440917157923708,0.06614221137394524,0.09538653648673306
-0.003,0.02,28,0.08117082316197194,0.10323953506834777,0.07429561491603079,0.10345099524745932
-0.003,0.02,29,0.08881268096661961,0.11327129804368595,0.07982548432653046,0.11143998274544732
-0.003,0.02,30,0.09787274321127588,0.12685138000546703,0.08464408120857476,0.11380758474033985
-0.003,0.03,1,0.0001415626516147622,0.013752663500857326,-0.0016119475556586923,1.9444019386073857e-5
-0.003,0.03,2,0.0036345910256024867,0.01468552047021276,-0.002159836382695989,-0.003628047446808362
-0.003,0.03,3,0.00647774755347017,0.015480475128140887,-0.003802357045879357,-0.009781149117063138
-0.003,0.03,4,0.00879252161688652,0.016129342227710352,-0.0029279791053400616,0.0007957307527190494
-0.003,0.03,5,0.010662070190942244,0.016594855976967256,-0.0002776824049067208,0.008904643438812497
-0.003,0.03,6,0.012193826292150555,0.017061743805475475,-0.0009811304996678331,-0.0018127599892611567
-0.003,0.03,7,0.01347609746133842,0.01755802149900434,-0.0008042557437489253,-9.122812402837229e-5
-0.003,0.03,8,0.01458320787437625,0.01811395534579523,0.0001255306201194985,0.003686639722311078
-0.003,0.03,9,0.015579849435469428,0.01876393228138736,-0.0017639264112091874,-0.00762689110394796
-0.003,0.03,10,0.016524857011923893,0.01954842248415264,-0.00034929899827838146,0.006066943704524169
-0.003,0.03,11,0.017474690175891205,0.02051654091385648,0.000779977788634285,0.005894351184784294
-0.003,0.03,12,0.018486840110806296,0.021729226874092764,0.003974346345024528,0.014782916764164999
-0.003,0.03,13,0.01962330253004669,0.02326293638033249,0.007972203469334235,0.021433118692904915
-0.003,0.03,14,0.020954380378324245,0.025214500956262553,0.01024571488857211,0.01942619768696443
