alpha1,delta,time,model_stock,model_effort,real_stock,real_effort
0.0,0.6,1,-0.002416223262868933,0.002281020419506797,0.024920731099293315,-9.268560156718652e-5
0.0,0.6,2,-0.00031506488650395086,0.0028604592443061782,0.01804625716842845,-0.003722888986393038
0.0,0.6,3,0.0011407927389936294,0.0033519855253135358,0.01162697310724878,-0.009712280266911351
0.0,0.6,4,0.0021489220755428386,0.00369067890004802,0.008926451388232852,0.0009656708145117902
0.0,0.6,5,0.002756201047409763,0.0036978867719266797,0.008953665558664397,0.008858172135269037
0.0,0.6,6,0.0031252853324481742,0.003710373715571111,0.006591247820368393,-0.0016985432484186603
0.0,0.6,7,0.0033550853302316825,0.003731664934784153,0.005368092929785661,0.0002646009479329489
0.0,0.6,8,0.0035072730611387395,0.0037677045351806777,0.004882429322010096,0.003785284879187656
0.0,0.6,9,0.0036228634579114206,0.0038286011537364694,0.0020533877786357334,-0.007625927758318684
0.0,0.6,10,0.003733333112741426,0.003931581302393788,0.0030291263070591967,0.0062492828059905895
0.0,0.6,11,0.003869131869161447,0.00410560837173466,0.003724503196473928,0.005886080682446792
0.0,0.6,12,0.004068081575436117,0.004399627885270338,0.00634818140615305,0.014808833039055419
0.0,0.6,13,0.004385946186831667,0.004896413322990904,0.010221840158606093,0.02116795826780387
0.0,0.6,14,0.004912029659135213,0.005735732785042594,0.012296580710294394,0.019471811377116004
0.0,0.6,15,0.00579432170314018,0.0071538600082766985,0.013236621488223885,0.01840149627865301
0.0,0.6,16,0.00728108355568101,0.009549892007174205,0.017197576562626514,0.026884571751505378
0.0,0.6,17,0.009630398984795343,0.013197092430558723,0.021477979307265135,0.036387715255927974
0.0,0.6,18,0.013077190589403098,0.018296049351423694,0.027896677498720435,0.04599948419346073
0.0,0.6,19,0.01658563855365151,0.02190304556539165,0.03411395980182413,0.05436415512454066
0.0,0.6,20,0.02044080178547839,0.026284951333116337,0.03433632307966752,0.04015622432651138
0.0,0.6,21,0.024759534063697203,0.03130651781373495,0.03881576480320446,0.04945758684026005
0.0,0.6,22,0.029782689776847053,0.037395022031959615,0.04221435155986356,0.05769531935054441
0.0,0.6,23,0.03528352687575083,0.04362194253032879,0.04746095415551211,0.06459730045776037
0.0,0.6,24,0.04222768985607987,0.05274319048279962,0.052671023679431,0.07395444440404267
0.0,0.6,25,0.05018779336791228,0.06224111456073237,0.05837901095310745,0.07019033842802969
0.0,0.6,26,0.05783896418070773,0.06944231365138234,0.06192844061403177,0.07555623429454736
0.0,0.6,27,0.06504328400330289,0.07598906188334294,0.06861020012724431,0.09553719961518657
0.0,0.6,28,0.07403596436867335,0.08768021498903505,0.07651288065126789,0.10347070667938538
0.0,0.6,29,0.0856519140783771,0.10325178430607812,0.08187391621198752,0.1114691548235635
0.0,0.6,30,0.10375026216812064,0.1311063026921259,0.0873252946554391,0.11396370432948526
0.0,0.6,31,0.11449948426517989,0.1308514658116413,0.09335110348154863,0.1290830827750107
0.0,0.6,32,0.12088394856554993,0.13070056679446101,0.09684281993331785,0.1412570465447185
0.0,0.6,33,0.12467602843353784,0.13061110613836888,0.09416525308578341,0.1193512261818309
0.0,0.6,34,0.12692836674502384,0.1305580271901385,0.09421507408567686,0.11299083983141193
0.0,0.6,35,0.12826617256355938,0.13052653173792597,0.10805541576231192,0.13890670062927293
0.0,0.6,36,0.12906077198066662,0.13050780700169148,0.11145614914038623,0.13468309326821862
0.0,0.6,37,0.12953273924923014,0.13049670908975924,0.11921692742287253,0.14072512723881314
0.0,0.6,38,0.12981306730239728,0.1304901030675828,0.11789957511074185,0.11496396449484836
0.0,0.6,39,0.12997957542655125,0.13048619307761913,0.11568873065760375,0.12139671427935732
0.0,0.6,40,0.13007847284459112,0.13048385964899628,0.11366404076047049,0.11278313806108277
0.0,0.6,41,0.13013721213901844,0.13048247177609412,0.1006349290791878,0.11273582681209773
0.0,0.6,42,0.13017209800819832,0.13048164285216904,0.08799673673402285,0.10066584975621005
0.0,0.6,43,0.13019280978117567,0.13048113227621658,0.09901847532594654,0.12505421326364685
0.0,0.6,44,0.13020509036914918,0.13048078909155256,0.09648195761863658,0.12975129622529083
0.0,0.6,45,0.1302123531280266,0.13048053871099038,0.10367184028686531,0.13098197798692954
0.0,0.6,46,0.1302166004039107,0.13048027071943274,0.097678913291047,0.12273188737133137
0.0,0.6,47,0.13021899426057243,0.1304798889332474,0.11263495794158389,0.10946933506001344
0.0,0.6,48,0.1302201667884245,0.1304792316658879,0.11591175648207594,0.12349621869958492
0.0,0.6,49,0.13022039416648562,0.13047804175127597,0.1096640103086596,0.11161976058475545
0.0,0.6,50,0.13021961842034238,0.13047575988722682,0.11685982988651775,0.12295338565712906
0.0,0.6,51,0.13021740604510093,0.13047138851065693,0.11112959894493331,0.10329371935042267
0.0,0.6,52,0.13022011401848568,0.13048148184941905,0.13420565780585406,0.1371320883313586
0.0,0.7,1,-0.0022659450332282124,0.002763033141989912,0.021889949685193387,-9.268560156718652e-5
0.0,0.7,2,-0.0005811338742527199,0.00332348515621731,0.016002586873730365,-0.003722888986393038
0.0,0.7,3,0.0007348874379651633,0.003778947395461597,0.010113070234107237,-0.009712280266911351
0.0,0.7,4,0.001748978397731691,0.004089531153092006,0.00767624502464211,0.0009656708145117902
0.0,0.7,5,0.0024741945238433223,0.004141796731017489,0.00793160513729435,0.008858172135269037
0.0,0.7,6,0.003004082381731537,0.004216896082597359,0.005512686110931337,-0.0016985432484186603
0.0,0.7,7,0.0034073656909299017,0.004325606242379456,0.00444161708946805,0.0002646009479329489
0.0,0.7,8,0.0037367335120978198,0.0044832416376084285,0.004197148081482978,0.003785284879187656
0.0,0.7,9,0.004035656322388593,0.004711827413802369,0.0014752655889815247,-0.007625927758318684
0.0,0.7,10,0.004344101776596692,0.005043236301200439,0.0024986461218174483,0.0062492828059905895
0.0,0.7,11,0.004703841991955927,0.00552354416561419,0.0034343174604000654,0.005886080682446792
0.0,0.7,12,0.0051641505414766285,0.006219644891483244,0.00631776802151846,0.014808833039055419
0.0,0.7,13,0.005788525959704096,0.00722838303750381,0.01021755150070453,0.02116795826780387
0.0,0.7,14,0.006663459467349534,0.008690111739153204,0.0126426584567872,0.019471811377116004
0.0,0.7,15,0.007910419090481126,0.01080821061378442,0.013801370097799776,0.01840149627865301
0.0,0.7,16,0.009702703706664473,0.013877344024127944,0.017652792915372213,0.026884571751505378
0.0,0.7,17,0.012206460431433468,0.018047379680393938,0.022160610096783814,0.036387715255927974
0.0,0.7,18,0.015549788170281593,0.023357949865951067,0.028872983358174193,0.04599948419346073
0.0,0.7,19,0.01916450318055798,0.027614805063878978,0.03521085094501024,0.05436415512454066
0.0,0.7,20,0.023195328650490395,0.03262647326421142,0.03555870138560224,0.04015622432651138
0.0,0.7,21,0.027711287488329385,0.03828551099234355,0.04036613118067193,0.04945758684026005
0.0,0.7,22,0.032849786167412166,0.044889221545489445,0.04351546430985864,0.05769531935054441
0.0,0.7,23,0.03850181972939306,0.051753369322966036,0.04898703543658913,0.06459730045776037
0.0,0.7,24,0.04517275757094676,0.06081810160657027,0.05412690026741681,0.07395444440404267
0.0,0.7,25,0.05260859319639471,0.0700569093925444,0.059923834115051505,0.07019033842802969
0.0,0.7,26,0.060080285903854044,0.07763055586967403,0.06351360199331996,0.07555623429454736
0.0,0.7,27,0.06751749645863694,0.08500550606583707,0.07021436654913558,0.09553719961518657
0.0,0.7,28,0.0761003123656935,0.096282402710191,0.07800152950067697,0.10347070667938538
0.0,0.7,29,0.0862341282538782,0.11006002597800295,0.08336982705394315,0.1114691548235635
0.0,0.7,30,0.09965488921040322,0.13118321032535338,0.08842873974524154,0.11396370432948526
0.0,0.7,31,0.10897417874526488,0.13095529370537004,0.09444532253863828,0.1290830827750107
0.0,0.7,32,0.11544557608491296,0.13079754621967865,0.0980780146197069,0.1412570465447185
0.0,0.7,33,0.1199394388102998,0.1306882514733335,0.09553871765335235,0.1193512261818309
0.0,0.7,34,0.12306009161887203,0.13061246149939626,0.09547194822197216,0.11299083983141193
0.0,0.7,35,0.125227165764219,0.13055988192256382,0.10891522961899468,0.13890670062927293
0.0,0.7,36,0.12673205839358512,0.13052341204276707,0.11192455847533314,0.13468309326821862
